Date,Cajon Grande,CyMore,Madre,Tesuque Medio,Tesuque Pond,Frank V Ortiz,Vicente Ortiz,CICD,Acequia en Medio,Del Molino,Los Romeros,Del Rio,Los Ortizes,Los Ojitos,Barranco Blanco,Barranco Alto,Ancon de Jacona,Larga de Jacona,Barranco de Jacona,Otra Vanda,El Rancho,Los Indios,San Ildefonso,Highline,Upper Consolidated,Lower Consolidated,Del Llano,La Nueva,Comunidad,Los Ortiz,Gardunos,Jose G Ortiz,Rincon,Cano,Las Joyas,Trujillos
2024-04-01,0,0,0.027,0,0.084,0,0,2.99,0,0,0.707,0,0.026,0.2,0.033,0,0,0.372,0.413,2.268,1.532,0,0.02,4.533,0,0,0,0.004,0,0.026,0,0,0,0,0,0
2024-04-02,0,0,0.034,0.131,0.697,0,0,2.49,0,0,0.001,0.011,0.228,0.169,0.033,6.255,0,0.165,0.394,2.15,1.549,0,0.018,3.365,0,0,0,0.04,0,0.228,0,0,0,0,0,0
2024-04-03,0,0,0.038,0.439,0.815,0,0,2.33,0,0,0.101,0,0.845,0,0.033,9.405,0,0.495,0.325,2.183,1.572,0,0.02,0,0,0,0,0,0,0.845,0,0,0,0,0,0
2024-04-04,0,0,0.118,1.504,1.788,0,0,1.699,0,0,0.28,0,0.915,0,0.028,4.974,0.13,0.258,0.324,1.965,1.37,0,0.02,2.999,7.516,7.636,0,0,0.233,0.915,0,0,0,0,0,0
2024-04-05,0.221,0,0,2.399,2.205,0,0,1.676,0,0,0.286,0,0.894,0,0.031,3.443,0.22,0.748,0.347,1.375,1.02,0,0.017,3.746,12.315,13.519,0,0,0.205,0.894,1.749,0,0,0,0,0
2024-04-06,0,0.228,0.634,2.815,1.715,0,3.797,1.461,0.2,0.006,0.312,0.102,0.468,0.308,0.034,2.975,0,0.49,0.368,1.536,1.042,0,0.018,3.767,9.758,10.296,0,0.066,0,0.468,0,0,0,0,0,0
2024-04-07,0,0,1.352,2.109,1.707,0,5.223,0.965,0.467,0.171,0.289,0.258,0.029,0.653,0.031,1.778,0.385,0.651,0.377,1.854,1.255,0,0.015,2.978,1.728,1.881,0,0,0,0.029,1.512,0,0,0,0,0.254
2024-04-08,0,0,1.485,2.366,1.576,0,4.788,1.405,0.462,0.33,0.34,0.417,0.259,0.239,0.027,2.247,0.839,0.498,0.395,1.688,1.083,0,0.019,0.386,0.367,0.077,0,0,0,0.259,1.188,0.262,0,0.962,0,0.12
2024-04-09,0,0,1.525,2.137,1.5,0,3.987,1.254,0.395,0.384,0.395,0.384,0.324,0,0.027,2.625,0.827,0.496,0.433,1.469,0.708,0,0.017,2.77,2.155,5.655,0.329,0.517,0,0.324,1.69,0,0,1.22,0,0
2024-04-10,0,0,1.52,2.278,0.993,0,3.336,1.327,0.397,0.425,0.245,0.574,0.429,0,0.017,1.951,0.708,0.44,0.379,0.929,0.357,0,0.01,3.883,5.08,14.377,2.038,1.629,0,0.429,2.715,0,3.883,0,0,0
