date,swe,medianswe
2023-10-01,0,0
2023-10-02,0,0
2023-10-03,0,0
2023-10-04,0,0
2023-10-05,0,0
2023-10-06,0,0
2023-10-07,0,0
2023-10-08,0,0
2023-10-09,0,0
2023-10-10,0,0
2023-10-11,0,0
2023-10-12,0,0
2023-10-13,0,0
2023-10-14,0,0
2023-10-15,0,0
2023-10-16,0,0
2023-10-17,0,0
2023-10-18,0,0
2023-10-19,0,0
2023-10-20,0,0
2023-10-21,0,0
2023-10-22,0,0
2023-10-23,0,0
2023-10-24,0,0
2023-10-25,0,0.2
2023-10-26,0,0.4
2023-10-27,0,0.5
2023-10-28,0,0.6
2023-10-29,0,0.6
2023-10-30,0,0.7
2023-10-31,0,0.6
2023-11-01,0,0.6
2023-11-02,0,0.6
2023-11-03,0,0.6
2023-11-04,0,0.6
2023-11-05,0,0.6
2023-11-06,0,1
2023-11-07,0,0.9
2023-11-08,0,0.9
2023-11-09,0,0.8
2023-11-10,0.1,1
2023-11-11,0.1,1
2023-11-12,0.1,1
2023-11-13,0.1,1
2023-11-14,0.1,1.2
2023-11-15,0.1,1.2
2023-11-16,0.1,1.4
2023-11-17,0.1,1.6
2023-11-18,0.1,1.6
2023-11-19,0.3,1.7
2023-11-20,0.7,1.6
2023-11-21,0.7,2
2023-11-22,0.7,2.1
2023-11-23,0.7,2.1
2023-11-24,0.7,2.1
2023-11-25,0.7,2.1
2023-11-26,1.2,2.1
2023-11-27,1.2,2.2
2023-11-28,1,2.4
2023-11-29,1,2.5
2023-11-30,1.1,2.6
2023-12-01,1.7,2.7
2023-12-02,2.3,3
2023-12-03,2.4,3
2023-12-04,2.5,3.2
2023-12-05,2.6,3.2
2023-12-06,2.3,3.2
2023-12-07,2.3,3.3
2023-12-08,2.3,3.5
2023-12-09,2.3,3.6
2023-12-10,2.3,3.6
2023-12-11,2.7,3.6
2023-12-12,2.7,3.6
2023-12-13,2.7,4
2023-12-14,3,4.3
2023-12-15,4.5,4.4
2023-12-16,4.5,5
2023-12-17,4.5,5
2023-12-18,4.5,5
2023-12-19,4.6,5
2023-12-20,4.6,5
2023-12-21,4.7,5
2023-12-22,4.7,5
2023-12-23,5.1,5
2023-12-24,6.5,5.2
2023-12-25,6.5,5.2
2023-12-26,6.5,5.4
2023-12-27,6.5,5.5
2023-12-28,6.5,5.5
2023-12-29,6.5,5.6
2023-12-30,6.5,5.9
2023-12-31,6.5,6
2024-01-01,6.4,6.1
2024-01-02,6.4,6
2024-01-03,6.4,6
2024-01-04,6.4,6
2024-01-05,7,6
2024-01-06,7,6.2
2024-01-07,7,6.2
2024-01-08,7.6,6.2
2024-01-09,8.5,6.2
2024-01-10,8.6,6.2
2024-01-11,8.6,6.2
2024-01-12,8.8,6.2
2024-01-13,8.8,6.2
2024-01-14,9,6.4
2024-01-15,9.3,6.4
2024-01-16,9.3,6.6
2024-01-17,9.4,7
2024-01-18,9.4,7
2024-01-19,9.3,7
2024-01-20,9.4,7.9
2024-01-21,9.4,8
2024-01-22,9.5,8.2
2024-01-23,9.5,8.2
2024-01-24,9.6,8.2
2024-01-25,9.8,8.2
2024-01-26,9.9,8.2
2024-01-27,10.2,8.2
2024-01-28,10.2,8.2
2024-01-29,10.2,8.2
2024-01-30,10.2,8.2
2024-01-31,10.2,8.3
2024-02-01,10.2,8.6
2024-02-02,10.3,8.6
2024-02-03,11.2,8.6
2024-02-04,12.2,8.8
2024-02-05,12.2,8.8
2024-02-06,12.3,8.8
2024-02-07,12.5,8.8
2024-02-08,13.3,8.8
2024-02-09,13.4,8.8
2024-02-10,13.4,8.8
2024-02-11,13.6,8.8
2024-02-12,13.6,8.9
2024-02-13,13.6,9
2024-02-14,13.6,9.4
2024-02-15,13.6,9.6
2024-02-16,13.6,10
2024-02-17,13.6,10
2024-02-18,13.6,10
2024-02-19,13.6,10.5
2024-02-20,13.6,10.8
2024-02-21,13.6,10.8
2024-02-22,13.6,10.8
2024-02-23,13.6,10.8
2024-02-24,13.6,10.8
2024-02-25,13.6,10.9
2024-02-26,13.6,11
2024-02-27,13.7,11
2024-02-28,13.7,11
2024-02-29,13.7,11
2024-03-01,13.7,11.2
2024-03-02,13.8,11.4
2024-03-03,13.7,11.8
2024-03-04,13.6,11.8
2024-03-05,13.6,11.8
2024-03-06,13.6,12
2024-03-07,13.6,12.1
2024-03-08,13.6,12.2
2024-03-09,14.6,12.2
2024-03-10,14.6,12.2
2024-03-11,14.6,12.1
2024-03-12,14.5,12.2
